Name,Instagram Handle,TikTok Handle,Platform(s),Audience Size,Outreach Tier,Category,Why Olilo,Email,Status,Assigned To,Creator Brief,Email Draft,DM Draft,Shipping Address,Affiliate Code,Affiliate Link,Commission Rate,Total Conversions,Total Revenue,Notes,Date Added
Karalynne Call,@just.ingredients,,IG,Mega,1,"Clean Eating, Healthy Recipe","Certified nutritionist specializing in toxin-free living and healing through nutrition.",,Not Contacted,Rich,,,,,,,10%,,,Mom + Expert,2026-05-04
Jessie Inchauspé,@glucosegoddess,,IG,Mega,1,"Blood Sugar, Healthy Recipe","Biochemist sharing glucose hacks and hormone-friendly meals for spike-free energy.",,Not Contacted,Rich,,,,,,,10%,,,Mom + Expert,2026-05-04
Dr. Amy Shah,@dramyshah,,IG,Mega,1,Blood Sugar,"MD focusing on women's hormones and blood sugar balance.",,Not Contacted,Rich,,,,,,,10%,,,Mom + Expert,2026-05-04
Dr. Mindy Pelz,@dr.mindypelz,,IG,Mega,1,"Blood Sugar, Clean Eating","Women's fasting expert for metabolic reset.",,Not Contacted,Rich,,,,,,,10%,,,Mom + Expert,2026-05-04
Tallene Hacatoryan,@pcos.weightloss,,IG,Mega,1,"Blood Sugar, Clean Eating","Dietitian specializing in PCOS weight loss via low-sugar plans.",,Not Contacted,Rich,,,,,,,10%,,,Mom + Expert,2026-05-04
Dr. Eric Berg,@drericbergdc,,IG,Mega,1,"Gut Health, Blood Sugar","Keto, fasting, and gut-healing low-sugar protocols.",,Not Contacted,Rich,,,,,,,10%,,,Chiropractic Nutrition,2026-05-04
Thomas DeLauer,@thomasdelauer,,IG,Mega,1,"Gut Health, Blood Sugar","Intermittent fasting with low-carb gut support.",,Not Contacted,Rich,,,,,,,10%,,,Fitness Nutrition,2026-05-04
Dr. Mark Hyman,@drmarkhyman,,IG,Mega,1,"Gut Health, Blood Sugar","Prebiotic foods and sugar detox for microbiome.",,Not Contacted,Rich,,,,,,,10%,,,Functional Medicine,2026-05-04
Dr. Will Bulsiewicz,@theguthealthmd,,IG,Mega,1,Gut Health,"Probiotic/prebiotic fiber strategies for gut repair.",,Not Contacted,Rich,,,,,,,10%,,,Gastroenterology,2026-05-04
Dr. Pal Manickam,@dr.pal.manickam,,IG,Mega,1,Gut Health,"Lifestyle medicine for digestion and gut health.",,Not Contacted,Rich,,,,,,,10%,,,Gastroenterology,2026-05-04
Max Lugavere,@maxlugavere,,IG,Mega,1,"Gut Health, Blood Sugar","Low-sugar diets linking gut to brain function.",,Not Contacted,Rich,,,,,,,10%,,,Brain-Gut Nutrition,2026-05-04
Dr. Steven Gundry,@drgundry,,IG,Mega,1,"Gut Health, Blood Sugar","Lectin-free low-sugar plans for gut healing.",,Not Contacted,Rich,,,,,,,10%,,,Cardiothoracic Surgery,2026-05-04
Mike Mutzel,@highintensityhealth,,IG,Macro,2,Gut Health,"Nutrition science for gut repair and metabolism.",,Not Contacted,Rich,,,,,,,10%,,,Metabolic Health,2026-05-04
Austin Chiang MD,@austinchiangmd,,IG,Macro,2,Gut Health,"Microbiome tips with prebiotic focus.",,Not Contacted,Rich,,,,,,,10%,,,Gastroenterology,2026-05-04
Dr. Rupy Aujla,@doctorrupy,,IG,Mega,1,"Gut Health, Healthy Recipe","Anti-inflammatory cooking with prebiotics.",,Not Contacted,Rich,,,,,,,10%,,,GP/Culinary Medicine,2026-05-04
Dr. Michael Ruscio,@drruscio,,IG,Micro,3,Gut Health,"Gut protocols for IBS and food sensitivities.",,Not Contacted,Rich,,,,,,,10%,,,Functional Medicine,2026-05-04
Dr. Sameer Islam,@gutdoc,,IG,Macro,2,Gut Health,"Patient-focused probiotic education.",,Not Contacted,Rich,,,,,,,10%,,,Gastroenterology,2026-05-04
Tim Spector,@timspector,,IG,Macro,2,Gut Health,"Personalized nutrition for gut diversity.",,Not Contacted,Rich,,,,,,,10%,,,Microbiome Research,2026-05-04
Jordan Haworth,@mrguthealth,,IG,Macro,2,Gut Health,"Bloating reduction and fiber strategies.",,Not Contacted,Rich,,,,,,,10%,,,Gut Health Specialist,2026-05-04
Graeme Tomlinson,@thefitnesschef_,,IG,Mega,1,"Gut Health, Healthy Recipe","Evidence-based nutrition with gut-friendly cooking.",,Not Contacted,Rich,,,,,,,10%,,,Nutrition Coach,2026-05-04
Kevin Curry,@fitmencook,,IG,Mega,1,"Gut Health, Blood Sugar, Healthy Recipe","Meal prep with low-sugar gut-friendly recipes.",,Not Contacted,Rich,,,,,,,10%,,,Healthy Cooking,2026-05-04
Dr. Rhonda Patrick,@foundmyfitness,,IG,Mega,1,Gut Health,"Longevity nutrition with microbiome focus.",,Not Contacted,Rich,,,,,,,10%,,,Nutritional Biochemistry,2026-05-04
Tadas Mikuckis,@superfoodsguy,,IG,Macro,2,"Gut Health, Healthy Recipe","Easy superfood meals for gut wellness.",,Not Contacted,Rich,,,,,,,10%,,,Nutrition Creator,2026-05-04
Kanchan Koya PhD,@chiefspicemama,,IG,Macro,2,"Gut Health, Healthy Recipe","Spice-based gut healing recipes.",,Not Contacted,Rich,,,,,,,10%,,,Nutrition Science,2026-05-04
José Andrés,@chefjoseandres,,IG,Macro,2,"Healthy Recipe, Blood Sugar","Nutritious global cooking for metabolic health.",,Not Contacted,Rich,,,,,,,10%,,,Chef/Wellness Advocate,2026-05-04
Kylie Sakaida,@nutritionbykylie,,IG,Mega,1,"Gut Health, Healthy Recipe","Hormone-balancing gut-friendly recipes.",,Not Contacted,Rich,,,,,,,10%,,,Dietitian,2026-05-04
Rachael DeVaux,@rachaelsgoodeats,,IG,Macro,2,"Gut Health, Blood Sugar, Healthy Recipe","Blood sugar stable gut-friendly meals.",,Not Contacted,Rich,,,,,,,10%,,,Registered Dietitian,2026-05-04
Dr. Dom D'Agostino,@domdahostin,,IG,Mega,1,"Gut Health, Blood Sugar","Low-carb protocols for gut-brain axis and metabolic health.",,Not Contacted,Rich,,,,,,,10%,,,Ketogenic Research,2026-05-04
Dr. Ben Bikman,@benbikmanphd,,IG,Macro,2,Blood Sugar,"Insulin resistance and sugar reduction science.",,Not Contacted,Rich,,,,,,,10%,,,Metabolic Scientist,2026-05-04
Layne Norton,@biolayne,,IG,Mega,1,"Gut Health, Blood Sugar","Evidence-based low-sugar macros and gut performance.",,Not Contacted,Rich,,,,,,,10%,,,PhD Nutrition,2026-05-04
Dr. Paul Saladino,@paulsaladino,,IG,Mega,1,"Gut Health, Clean Eating","Animal-based low-toxin diets for microbiome reset.",,Not Contacted,Rich,,,,,,,10%,,,Carnivore MD,2026-05-04
Dr. Anthony Chaffee,@anthonychaffeemd,,IG,Macro,2,"Gut Health, Clean Eating","Low-carb carnivore for inflammation and gut repair.",,Not Contacted,Rich,,,,,,,10%,,,Neuroscience MD,2026-05-04
Shawn Baker,@sbakermd,,IG,Mega,1,"Clean Eating, Blood Sugar","Carnivore lifestyle for metabolic wellness.",,Not Contacted,Rich,,,,,,,10%,,,Orthopedic Surgeon,2026-05-04
Dr. Tro Kalayjian,@doctortro,,IG,Macro,2,"Blood Sugar, Clean Eating","GLP-1 companion low-sugar nutrition.",,Not Contacted,Rich,,,,,,,10%,,,Obesity Specialist,2026-05-04
Jeff Nippard,@jeffnippard,,IG,Mega,1,"Gut Health, Clean Eating","Science-backed nutrition for gut health and performance.",,Not Contacted,Rich,,,,,,,10%,,,Pro Natural Bodybuilder,2026-05-04
Dr. Peter Attia,@peterattiamd,,IG,Macro,2,"Gut Health, Blood Sugar","Fasting and fiber optimization for metabolic longevity.",,Not Contacted,Rich,,,,,,,10%,,,Longevity MD,2026-05-04
Dr. Jason Fung,@drjasonfung,,IG,Macro,2,"Gut Health, Blood Sugar","Intermittent fasting for sugar control and gut health.",,Not Contacted,Rich,,,,,,,10%,,,Nephrologist,2026-05-04
Alan Flanagan,@drflanagan,,IG,Macro,2,"Gut Health, Clean Eating","Plant diversity and prebiotics for microbiome.",,Not Contacted,Rich,,,,,,,10%,,,Nutrition Epidemiologist,2026-05-04
Dr. Brad Stanfield,@drstanfield,,IG,Macro,2,Blood Sugar,"Supplements and low-sugar protocols for longevity.",,Not Contacted,Rich,,,,,,,10%,,,Family Physician,2026-05-04
Andrew Huberman,@hubermanlab,,IG,Mega,1,Gut Health,"Protocols linking sleep, light, and nutrition to gut function.",,Not Contacted,Rich,,,,,,,10%,,,Neuroscientist,2026-05-04
Dr. Chris Palmer,@chrispalmermd,,IG,Macro,2,"Gut Health, Blood Sugar","Metabolic psychiatry via ketogenic gut health.",,Not Contacted,Rich,,,,,,,10%,,,Harvard Psychiatrist,2026-05-04
Dr. Ted Naiman,@tednaiman,,IG,Macro,2,"Blood Sugar, Clean Eating","Protein priority for satiety and low-sugar wellness.",,Not Contacted,Rich,,,,,,,10%,,,Obesity Specialist,2026-05-04
Dr. Ken Berry,@kenberrymd,,IG,Mega,1,"Blood Sugar, Clean Eating","Keto/paleo for reversing metabolic syndrome.",,Not Contacted,Rich,,,,,,,10%,,,Family Physician,2026-05-04
Casey Means MD,@caseymeansmd,,IG,Macro,2,Blood Sugar,"Systemic health via nutrition and sugar awareness.",,Not Contacted,Rich,,,,,,,10%,,,Metabolic Surgeon,2026-05-04
Dr. Bryan Krahn,@bryankrahn,,IG,Macro,2,"Gut Health, Clean Eating","Sustainable nutrition for gut and body composition.",,Not Contacted,Rich,,,,,,,10%,,,Exercise Physiologist,2026-05-04
Dr. Tommy Wood,@drtommywood,,IG,Macro,2,Gut Health,"Ketones and prebiotics for cognitive resilience.",,Not Contacted,Rich,,,,,,,10%,,,Brain Health MD,2026-05-04
Robb Wolf,@dasrobbwolf,,IG,Macro,2,"Gut Health, Clean Eating","Paleo 2.0 with gut-healing food focus.",,Not Contacted,Rich,,,,,,,10%,,,Biochemist,2026-05-04
Olivia Adriance,@olivia.adriance,,IG,Mega,1,"Clean Eating, Healthy Recipe, Blood Sugar","Gluten/dairy/sugar-free recipes for effortless healthy living.",,Not Contacted,Rich,,,,,,,10%,,,Refined Sugar-Free,2026-05-04
Caroline Deisler,@carolinedeisler,,IG,Macro,2,"Clean Eating, Healthy Recipe","GF/sugar-free vegan recipes and pilates for moms.",,Not Contacted,Rich,,,,,,,10%,,,Vegan Sugar-Free,2026-05-04
Kelly LeVeque,@bewellbykelly,,IG,Macro,2,"Blood Sugar, Clean Eating","Blood sugar balancing for sustained energy and body love.",,Not Contacted,Rich,,,,,,,10%,,,Holistic Nutrition,2026-05-04
Katrin Nurnberger,@sugarfree_londoner,,IG,Macro,2,"Blood Sugar, Clean Eating, Healthy Recipe","Sugar/gluten-free natural ingredient recipes.",,Not Contacted,Rich,,,,,,,10%,,,Low Carb Keto,2026-05-04
Dr. Casey Means (Kitchen),@drcaseyskitchen,,IG,Macro,2,"Blood Sugar, Healthy Recipe","Metabolic health and glucose-spike recipes.",,Not Contacted,Rich,,,,,,,10%,,,"Possible secondary account of @caseymeansmd — verify before outreach. Channels: Instagram, YouTube, Website.",2026-05-04
Dr. Sara Gottfried,@saragottfriedmd,,IG,Macro,2,Blood Sugar,"Hormones and cardiometabolic health.",,Not Contacted,Rich,,,,,,,10%,,,"Channels: Instagram, YouTube, Website.",2026-05-04
Beth Bollinger,@nestwellness_,,IG,Macro,2,Blood Sugar,"Blood sugar balance for everyday wellness.",,Not Contacted,Rich,,,,,,,10%,,,"Channels: Instagram, Website.",2026-05-04
Dr. Elie Jarrouge,@elie_jarrouge,,IG,Micro,3,Blood Sugar,"Metabolic health coach.",,Not Contacted,Rich,,,,,,,10%,,,"Channels: Instagram, Website.",2026-05-04
